price,metro_stations_list,metro_station,walk_time,rooms,floor,floors_total,square_total,square_kitchen,ceiling_height,wall_material,renovation,year_built,owners_count,infrastructure,yard_improvement,publication_date,edit_date,ad_id,url,square_living
22000000,"Варшавская: 3 мин, Каховская: 14 мин, Севастопольская: 18 мин, Нахимовский проспект: 19 мин",Варшавская,3 мин,3.0,10.0,12.0,65.0,8.0,2.55,,,,,"Школы, Магазины, Торговые центры",Видеонаблюдение,,,323294408,https://www.cian.ru/sale/flat/323294408/,40.7
14200000,"Пятницкое шоссе: 9 мин, Митино: 22 мин, Волоколамская: 6 мин",Волоколамская,6 мин,2.0,1.0,17.0,53.3,10.0,,Панельный,Есть ремонт,,,,,,,322549395,https://www.cian.ru/sale/flat/322549395/,34.0
21500000,"Народное Ополчение: 22 мин, Панфиловская: 5 мин, Мнёвники: 6 мин",Панфиловская,5 мин,2.0,10.0,22.0,47.4,14.0,3.1,Монолитный,,2015.0,,"Школы, Магазины","Видеонаблюдение, Парковка",,,323131301,https://www.cian.ru/sale/flat/323131301/,20.0
12890000,"Саларьево: 16 мин, Филатов Луг: 19 мин, Прокшино: 7 мин",Прокшино,7 мин,1.0,18.0,24.0,35.5,17.0,,Монолитный,,2020.0,,"Школы, Магазины, Торговые центры",Парковка,,,321981959,https://www.cian.ru/sale/flat/321981959/,10.1
22000000,"Ховрино: 19 мин, Ховрино: 25 мин, Лианозово: 6 мин",Лианозово,6 мин,2.0,10.0,33.0,57.0,18.0,2.7,,,2022.0,,"Школы, Магазины",Парковка,,,323058262,https://www.cian.ru/sale/flat/323058262/,23.0
16990000,"Зябликово: 11 мин, Красногвардейская: 16 мин, Шипиловская: 24 мин",Зябликово,11 мин,3.0,3.0,17.0,74.0,10.2,,Панельный,,,,"Школы, Магазины",Парковка,,,323279027,https://www.cian.ru/sale/flat/323279027/,45.1
82363143,"Динамо: 15 мин, Аэропорт: 13 мин, Петровский Парк: 14 мин, ЦСКА: 15 мин",Аэропорт,13 мин,3.0,9.0,41.0,95.1,,,,,2023.0,,"Школы, Торговые центры",Парковка,,,321620088,https://www.cian.ru/sale/flat/321620088/,66.5
17500000,"Авиамоторная: 12 мин, Авиамоторная: 14 мин, Авиамоторная: 16 мин",Авиамоторная,12 мин,,4.0,16.0,26.2,7.0,3.2,Монолитный,Есть ремонт,2019.0,,"Школы, Магазины","Видеонаблюдение, Парковка",,,321693265,https://www.cian.ru/sale/flat/321693265/,13.0
14500000,"Чертановская: 15 мин, Южная: 19 мин, Севастопольская: 5 мин",Севастопольская,5 мин,3.0,8.0,9.0,60.5,8.0,,Панельный,,,,Школы,Парковка,,,321166167,https://www.cian.ru/sale/flat/321166167/,40.0
9315000,"Калитники: 10 мин, Новохохловская: 19 мин, Волгоградский проспект: 23 мин",Калитники,10 мин,,12.0,20.0,20.1,3.0,3.2,Монолитный,Есть ремонт,2025.0,,"Школы, Магазины, Торговые центры",Парковка,,,323313644,https://www.cian.ru/sale/flat/323313644/,
30000000,"Алексеевская: 10 мин, ВДНХ: 19 мин, Марьина Роща: 23 мин",Алексеевская,10 мин,2.0,8.0,34.0,60.4,22.0,3.1,Монолитный,Есть ремонт,2022.0,,"Школы, Магазины","Видеонаблюдение, Парковка",,,323538088,https://www.cian.ru/sale/flat/323538088/,23.0
46900000,"Краснопресненская: 2 мин, Баррикадная: 6 мин, Улица 1905 года: 14 мин, Смоленская: 19 мин",Краснопресненская,2 мин,,6.0,20.0,46.9,,,Монолитно-кирпичный,,2024.0,,"Магазины, Торговые центры","Охрана, Парковка",,,319427197,https://www.cian.ru/sale/flat/319427197/,
16700000,"Октябрьское поле: 6 мин, Бульвар Генерала Карбышева: 5 мин, Серебряный Бор: 16 мин, Народное Ополчение: 5 мин, Мнёвники: 5 мин",Бульвар Генерала Карбышева,5 мин,2.0,4.0,12.0,46.8,8.8,,Монолитный,,,,"Школы, Торговые центры",Парковка,,,321459150,https://www.cian.ru/sale/flat/321459150/,32.2
21000000,"ЗИЛ: 25 мин, Технопарк: 23 мин, Нагатинская: 8 мин",Нагатинская,8 мин,1.0,8.0,9.0,37.4,12.7,,,,2024.0,,,Парковка,,,320730000,https://www.cian.ru/sale/flat/320730000/,10.9
510000000,"Арбатская: 8 мин, Кропоткинская: 6 мин, Боровицкая: 12 мин, Александровский сад: 13 мин, Библиотека им. Ленина: 14 мин, Смоленская: 14 мин, Парк Культуры: 19 мин",Кропоткинская,6 мин,4.0,7.0,9.0,274.5,20.0,,Кирпичный,,2009.0,,Школы,Парковка,,,323012916,https://www.cian.ru/sale/flat/323012916/,200.0
20500000,"Технопарк: 2 мин, ЗИЛ: 18 мин, Автозаводская: 19 мин, Коломенская: 20 мин, Остров мечты: 5 мин, ЗИЛ: 19 мин",Технопарк,2 мин,,17.0,24.0,37.8,4.0,2.65,Монолитный,,,,"Магазины, Торговые центры","Видеонаблюдение, Парковка",,,322727120,https://www.cian.ru/sale/flat/322727120/,26.5
37999999,"Кутузовская: 18 мин, Поклонная: 21 мин, Кутузовская: 22 мин",Кутузовская,18 мин,2.0,11.0,41.0,49.0,9.0,3.2,,Есть ремонт,2024.0,,"Магазины, Торговые центры","Охрана, Парковка",,,315963080,https://www.cian.ru/sale/flat/315963080/,30.0
